Date,Open,High,Low,Close,Volume,Trade
2012-11-30,2114.24,2142.86,2109.96,2139.66,364069.12,2855206.71
2012-12-03,2136.70,2152.61,2108.15,2108.85,401867.62,3417365.30
2012-12-04,2104.93,2135.66,2102.14,2131.47,362259.15,3173233.66
2012-12-05,2128.39,2219.09,2126.79,2207.88,824871.01,6910904.73
2012-12-06,2205.61,2216.98,2191.23,2203.60,485746.89,4275857.00
2012-12-07,2203.89,2250.53,2198.11,2246.76,761697.48,6499649.95
2012-12-10,2254.92,2276.28,2250.44,2271.05,733754.73,6139977.32
2012-12-11,2263.21,2274.99,2254.30,2258.50,514687.03,4508798.16
2012-12-12,2257.73,2273.21,2247.95,2267.77,450064.54,3918253.67
2012-12-13,2260.60,2266.72,2242.56,2242.64,419421.00,3666568.40
2012-12-14,2245.64,2357.11,2245.64,2355.86,1108925.64,9393473.95
2012-12-17,2359.20,2380.00,2358.66,2366.70,940881.92,8500082.28
2012-12-18,2361.09,2398.63,2347.08,2368.12,857848.47,7880283.75
2012-12-19,2362.80,2387.14,2358.03,2371.11,632925.29,6114074.62
2012-12-20,2361.32,2391.92,2346.55,2384.82,656554.60,6302869.09
2012-12-21,2386.38,2414.22,2365.03,2372.00,687141.58,6688770.87
2012-12-24,2368.01,2396.73,2367.04,2381.22,530870.02,5412154.16
2012-12-25,2373.88,2459.30,2365.41,2448.40,955023.46,8987777.43
2012-12-26,2445.99,2458.01,2441.64,2457.62,715918.28,6840624.33
2012-12-27,2464.78,2479.79,2443.68,2444.59,732550.66,6932760.17
2012-12-28,2448.08,2481.59,2444.38,2480.05,671663.21,6605328.79
2012-12-31,2485.56,2522.95,2485.56,2522.95,820022.94,8114908.36
2013-01-04,2551.81,2558.53,2498.89,2524.41,979881.78,9557924.25
2013-01-07,2518.05,2545.97,2511.60,2535.99,751679.95,7316751.16
2013-01-08,2534.65,2540.51,2502.49,2525.33,718371.02,7649805.93
2013-01-09,2518.10,2534.24,2504.30,2526.13,702311.68,7423359.39
2013-01-10,2525.59,2553.35,2513.73,2530.57,710858.60,7115904.61
2013-01-11,2533.49,2539.79,2473.70,2483.23,742391.76,7277592.58
2013-01-14,2474.18,2583.63,2474.00,2577.73,935540.94,9685347.53
2013-01-15,2579.13,2605.41,2576.92,2595.86,986208.05,10135696.18
2013-01-16,2591.36,2600.09,2540.52,2577.09,935360.82,9556499.66
2013-01-17,2570.71,2575.06,2539.67,2552.76,699152.38,7171611.85
2013-01-18,2568.69,2607.45,2553.45,2595.44,779403.01,7743516.67
2013-01-21,2605.65,2611.20,2582.65,2610.90,841337.40,8535744.51
2013-01-22,2610.39,2620.03,2578.18,2596.90,1057662.77,10226116.20
2013-01-23,2588.20,2611.41,2576.36,2607.46,757394.43,7275892.74
2013-01-24,2606.43,2663.40,2564.21,2582.76,1112771.69,10953768.14
2013-01-25,2580.88,2591.51,2567.11,2571.67,584873.57,6068937.52
2013-01-28,2577.27,2651.97,2577.27,2651.86,912747.93,9817327.21
2013-01-29,2655.38,2685.53,2646.15,2675.87,1010402.30,10882700.90
2013-01-30,2678.43,2689.68,2662.06,2688.71,998749.90,10085665.18
2013-01-31,2690.95,2696.88,2671.33,2686.88,967400.96,9447682.05
2013-02-01,2677.19,2744.32,2671.27,2743.32,1038795.16,11056093.59
2013-02-04,2753.69,2768.50,2731.08,2748.03,1279391.74,13611959.09
2013-02-05,2727.93,2779.95,2725.36,2771.68,1161308.16,11270116.97
2013-02-06,2771.91,2787.46,2765.74,2775.84,827792.69,8898958.13
2013-02-07,2771.53,2775.97,2722.87,2759.87,899781.43,9597859.43
2013-02-08,2755.65,2791.30,2747.95,2771.73,774296.42,8290362.98
2013-02-18,2784.07,2787.74,2731.51,2737.47,764382.26,8100136.55
2013-02-19,2735.05,2740.74,2674.34,2685.61,806264.32,8246081.13
2013-02-20,2686.09,2703.10,2665.23,2702.64,700193.79,7363636.43
2013-02-21,2675.74,2675.74,2584.76,2610.55,1006579.81,10361950.21
2013-02-22,2607.65,2618.48,2591.15,2596.60,602048.51,6589910.22
2013-02-25,2607.15,2628.70,2590.79,2604.96,531619.43,5561449.27
2013-02-26,2587.38,2631.09,2564.67,2567.59,800030.67,8337395.71
2013-02-27,2576.05,2615.25,2569.38,2594.68,632267.42,6461227.42
2013-02-28,2611.94,2673.71,2594.00,2673.33,869225.98,9223537.46
2013-03-01,2671.84,2680.85,2626.99,2668.84,733437.54,8034274.51
2013-03-04,2619.42,2619.57,2528.69,2545.72,1106191.05,11258503.99
2013-03-05,2547.89,2623.17,2541.77,2622.81,896611.53,9235713.23
2013-03-06,2634.87,2658.14,2620.43,2650.20,958296.47,9504889.24
2013-03-07,2639.78,2658.97,2592.87,2619.48,940826.62,9649809.82
2013-03-08,2622.68,2632.62,2601.96,2606.93,594295.55,6305459.40
2013-03-11,2600.28,2611.65,2574.17,2592.37,509464.37,5246090.04
2013-03-12,2590.39,2619.51,2530.25,2555.61,719351.40,7167512.58
2013-03-13,2551.73,2556.77,2515.06,2527.49,564304.59,5600372.33
2013-03-14,2517.74,2546.70,2514.46,2534.27,476057.55,4992977.72
2013-03-15,2533.72,2600.09,2504.46,2539.87,813721.86,8274987.42
2013-03-18,2526.08,2544.62,2499.83,2502.49,598127.77,6309355.52
2013-03-19,2507.40,2532.07,2491.85,2525.10,545364.74,5560101.27
2013-03-20,2526.97,2610.17,2526.83,2610.17,907006.26,9127102.05
2013-03-21,2611.58,2626.54,2598.51,2614.99,695527.58,7164266.91
2013-03-22,2612.26,2625.53,2603.34,2618.31,556471.40,5588214.17
2013-03-25,2628.41,2641.61,2607.61,2613.10,562614.02,5800493.06
2013-03-26,2601.96,2607.36,2554.97,2575.05,639629.62,6530657.08
2013-03-27,2575.73,2611.94,2566.34,2583.53,569065.16,5865224.60
2013-03-28,2535.99,2535.99,2495.08,2499.30,875784.09,8472589.93
2013-03-29,2502.78,2509.11,2482.49,2495.08,524021.35,5205553.97
2013-04-01,2486.43,2507.82,2483.73,2493.19,473460.22,4715982.03
2013-04-02,2495.84,2524.46,2475.00,2486.39,556841.52,5563739.34
2013-04-03,2493.88,2507.14,2474.93,2483.55,455642.21,4515672.06
2013-04-08,2443.24,2473.31,2429.50,2472.30,532967.73,5524929.74
2013-04-09,2477.29,2505.29,2477.29,2489.43,523898.27,5494703.72
2013-04-10,2487.98,2495.57,2466.19,2485.31,475049.11,5196382.21
2013-04-11,2502.50,2508.59,2476.40,2477.88,429899.57,4303994.88
